San Francisco Bay Area|Machine Operator|1
Napa|Machine Operator|2
Vallejo|Machine Operator|2
Sonoma|Machine Operator|1
American Canyon|Machine Operator|1
Martinez|Machine Operator|3
Brisbane|Machine Operator|4
Emeryville|Machine Operator|3
Walnut Creek|Machine Operator|1
San Ramon|Machine Operator|3
San Francisco|Housekeeper/Maid|2
Castro Valley|Housekeeper/Maid|1
Oakland|Farmer|62
San Francisco Bay Area|Farmer|8
Berkeley|Farmer|63
Concord|Farmer|22
Emeryville|Farmer|2
San Francisco|Farmer|110
San Leandro|Farmer|4
South San Francisco|Farmer|4
Benicia|Farmer|2
San Rafael|Farmer|23
Petaluma|Farmer|26
Pleasant Hill|Farmer|1
Walnut Creek|Farmer|15
San Bruno|Farmer|1
Westlake|Farmer|2
Daly City|Farmer|30
San Ramon|Farmer|17
Berkeley|Painter|1
San Rafael|Painter|2
Oakland|Painter|4
San Francisco|Painter|14
Novato|Painter|1
South San Francisco|Painter|2
Mill Valley|Painter|1
Daly City|Painter|2
Vallejo|Painter|1
San Anselmo|Painter|2
Alameda|Painter|2
Walnut Creek|Painter|2
Castro Valley|Painter|2
Westlake|Painter|2
Concord|Painter|2
San Leandro|Painter|1
South San Francisco|Factory Worker|1
San Francisco Bay Area|Factory Worker|1
El Cerrito|Factory Worker|2
San Francisco|Factory Worker|10
San Leandro|Factory Worker|1
San Ramon|Factory Worker|1
San Rafael|Factory Worker|1
Oakland|Factory Worker|1
Hercules|Production|26
Richmond|Production|31
Oakland|Production|58
Berkeley|Production|39
American Canyon|Production|6
San Leandro|Production|17
Alameda|Production|11
Martinez|Production|4
San Francisco|Production|136
El Cerrito|Production|2
Petaluma|Production|12
Concord|Production|22
Pinole|Production|2
Albany|Production|1
Walnut Creek|Production|6
San Rafael|Production|11
Napa|Production|2
Emeryville|Production|13
San Francisco Bay Area|Production|10
South San Francisco|Production|26
Fairfax|Production|1
San Lorenzo|Production|3
Pleasant Hill|Production|4
Novato|Production|10
Bay Point|Production|4
Benicia|Production|8
Daly City|Production|3
San Bruno|Production|3
Orinda|Production|1
East Bay|Production|1
Millbrae|Production|1
Lafayette|Production|2
Sonoma|Production|2
Larkspur|Production|1
Corte Madera|Production|1
Alamo|Production|2
Vallejo|Production|1
Hayward|Production|1
San Ramon|Production|1
Brisbane|Production|2
San Pablo|Production|1
Castro Valley|Production|1
Crockett|Production|1
Canyon|Production|1
Richmond|Stock Clerk|2
Albany|Stock Clerk|10
El Cerrito|Stock Clerk|12
Pinole|Stock Clerk|6
Berkeley|Stock Clerk|14
Emeryville|Stock Clerk|19
Castro Valley|Stock Clerk|12
Martinez|Stock Clerk|17
San Rafael|Stock Clerk|21
Oakland|Stock Clerk|45
San Francisco|Stock Clerk|49
San Anselmo|Stock Clerk|11
Greenbrae|Stock Clerk|7
Benicia|Stock Clerk|11
Clayton|Stock Clerk|9
Alameda|Stock Clerk|19
Concord|Stock Clerk|9
Pleasant Hill|Stock Clerk|14
Orinda|Stock Clerk|14
Lafayette|Stock Clerk|8
Walnut Creek|Stock Clerk|30
Sonoma|Stock Clerk|5
Corte Madera|Stock Clerk|13
Vallejo|Stock Clerk|14
San Leandro|Stock Clerk|25
Novato|Stock Clerk|23
South San Francisco|Stock Clerk|1
San Ramon|Stock Clerk|26
San Francisco Bay Area|Stock Clerk|1
Mill Valley|Stock Clerk|14
Sausalito|Stock Clerk|1
Tiburon|Stock Clerk|5
Moraga|Stock Clerk|8
Alamo|Stock Clerk|14
Danville|Stock Clerk|4
Petaluma|Stock Clerk|25
Daly City|Stock Clerk|20
San Bruno|Stock Clerk|3
Pacifica|Stock Clerk|15
Millbrae|Stock Clerk|14
Hayward|Stock Clerk|4
Colma|Stock Clerk|4
American Canyon|Stock Clerk|3
Rodeo|Stock Clerk|3
Belvedere Tiburon|Stock Clerk|2
Martinez|Inspector|2
Oakland|Inspector|29
San Francisco Bay Area|Inspector|21
Concord|Inspector|8
Hercules|Inspector|2
San Francisco|Inspector|66
East Bay|Inspector|3
Bay Point|Inspector|2
Walnut Creek|Inspector|7
Ross|Inspector|1
Berkeley|Inspector|22
Tiburon|Inspector|1
Vallejo|Inspector|2
San Leandro|Inspector|7
